text,sentiment
mouse works well and is good value for the inexpensive price ,positive
works great,positive
i ve had this mouse for almost months it worked so well and the color changing lights add little pizazz unfortunately the scroll wheel stopped working it no longer has tension on it it just spins now and moves nothing on the screen ,negative
i work from home and this mouse is very comfortable and responsive ,positive
beautiful ,positive
i purchased this mouse thinking it had usb connector not usb with usb adaptor my bad opted to keep it three stars on its scrolling as it was not smooth but it worked would have kept it but after couple of weeks it died and would not charge despite being plugged in for hours don waste your money go with tried and true brand,negative
this works like normal mouse and everything however the light that in the mouse is so bright it shines through the white on my mouse it not good aesthetically however if you want mouse that does mouse things this one fine ,positive
this is the worst mouse ever ,negative
the scrolling wheel is not working properly after months so have to buy new mouse the usb charging feature is nice though and it is easy to carry ,positive
love this mouse take it anywhere it classy yet little sexy for my workspace it very adaptable to who needs it in my house for their devices ,positive
works perfectly with my chromebook,positive
for me personally just not good fit,negative
this mouse is very useful and beautiful colors thought it wouldn fit my mac but it came with mac adapter very convenient and cute too ,positive
literally won charge or turn on look somewhere else for mouse ,positive
i bought this mouse on august it worked well for while but today september the mousewheel spins freely while my screen does not scroll you get what you pay for and guess with this you re only paying for mouse for month and half ,positive
works like it should and it super easy to set up ,positive
bought exchanged immediately due to sent broken one recieved replacement works sometimes won always work the other original purchase scrolly ball won register any movent good for months if you get one that works properly from the start ,positive
this wireless mouse works great it light and connected right to my macbook air with no problem ,positive
the mouse is not effective charged for hours still no life or function do not buy when noticed that the mouse was not working charged it for hours tried the mouse again and it still did not work but showed red as one of the colors which may be warning the seller did not respond or reply to assist me with any troubleshooting unsatisfied customer ,negative
works good and plug and play ,positive
i love the color and how slim it is use it for work school ,positive
super light and cute,positive
great buy ,positive
purchased in june busted in september the center wheel broken inside rendering the device worthless ,negative
i just love this wireless mouse it not big and bulky the clicking is quite and it really cute looking ,positive
have not had this too long and ve charged it and it won turn on anymore made sure switch is off even changed chargers it stopped working ,positive
it great mouse perfect and just what was looking for it really quiet which appreciate because louds clicks do get annoying after some time but not with this mouse the lights are cool too really slim so it easy to pack in my work bag and it feels great while using it ,positive
fits well to contour of hand withstands multiple drops to the floor battery lasts quite while after charging color changing is pretty ,positive
works on phone laptop tv all that pretty cool and lights up so wahoo,positive
i really liked using this mouse it died hair quicker than like but would just use it wired while it charged up however month after using it the middle scroll circle clicked down and wouldn come back up making it impossible for me to use as use that often in playing sims didn expect much as didn pay much but was slightly disappointed ,negative
i like the fact that it turns off after some time like that it works with usb and like that can use it with my mac or my pc and like the charging cable ,positive
i use this mouse with my laptop it worked pretty good when first got it then the wheel quit working have no idea why ,positive
i saw all the positive reviews and thought this would be winner at first it was great loved the colors it is easy to use but after few months the scroll wheel stopped working dug little deeper into the reviews and realized this is common theme now have to buy another mouse already and it won be another one of these ,positive
it worked less than month before it stopped charging and became useless purchased second one and will see how long it lasts ,negative
worked great for about months stays charged for long time and like being able to use the port in my laptop however now the scroll button moves erratic scrolling down the page and the page jumps up go up and it jumps down ,positive
i love this mouse easy to set up easy to use it seems to go forever on one charge and the ever changing light color is really cool ,positive
i absolutely love this mouse great color matches my laptop perfectly love the color changing mode so fun ,positive
 feels great wide and comfortable lights up when you move around likes so much bought second one too ,positive
do not recommend bought it two months ago and the roller part already broke and it is now useless,negative
i got this mouse to use with my laptop and it great glides easily holds charge for quite while and enters sleep mode when not in use to wake the mouse up you just right or left click the changing lights are great and fun touch,positive
my mouse broke after having it for months not happy the middle part where you scroll up and down is not working ,negative
ergonomic and no need for mouse pad smooth scrolling as well this mouse is compact and has usb adapter the rgb lights are nice touch too this is perfect for small laptop or tablet best of all is the price and quality ,positive
lights are multicolored and are nice goes to sleep on its own and is great smooth and works fine until it breaks had it months and days and suddenly while scrolling the wheel broke,positive
this is the worst mouse ever it hard to glide and it goes dead very fast wish could return it ,negative
worthless to spend min trouble shooting every time need to use it ,negative
gets insensitive very quickly and it so hard to use light and small and not ergonomic at all dont recommend buying,negative
works great love the quiet clicks perfect for school without being the annoying one when everything is silent,positive
love it,positive
the scroller broke within week and the material looked greasy and worn after about week of very limited use ,negative
i bought this for when started working from home after about or months the middle part no longer would scroll the page which is the reason bought it in the first place very disappointing since that the reason bought it in the first place ,negative
i have to charge this mouse way more than expected especially since use it for work won buy this again otherwise seems to work fine besides sometimes jumping from where have the pointer on the screen to whole other area casual usage this may be fine for you,positive
this was the worst mouse ve bought it goes dead very fast and then you have to charge it all night for it to die fast again would not recommend this mouse ,negative
i used it for about month and then the sensor broke and the entire thing is useless now,negative
my wrist no longer hurts after being on my computer sexy running lights let me see where it is on my desk love the pink color now no one can take it when there batteries are dead and claim your mouse needs batteries gotta love family ingenuity ,positive
bought in february and it worked great until rd or th charge now it not connecting to my computer any longer ,positive
works great it little too small and would stress my hand if used it all day everyday but don so keeping it and am content to be more specific the buttons are not directly below my fingertips which would be solved by longer mouse or an ergonomic one that has little more height to it an averaged sized male and to my knowledge my hand is typical of that size of person haha hope this helps ,positive
it was cheap and the lights are fun but it was cheap and doesn work great squeaky wheel as you re scrolling sometimes it doesn track well so that annoying but it gets the job done if your patient select different one ,positive
product worked well until it didn after months won charge or power on ,positive
love this mousepad the clicking is silent and it looks pretty but the thing dies so fast work hour week from home and have to charge the mouse like every day,positive
i bought this for my work laptop and just love it easy to use and love that it is rechargeable fantastic design so it not hard on your hands and connects easily with no issues ,positive
when first received this charged it as recommended and it lit up so seemed to work as expected after charged put the toggle in my usb port and nothing happened it didn download anything it didn pair with my laptop let it sit then tried again nothing it won charge it won light up nothing never even used it and it stopped working very disappointed and total waste of money ,negative
ergonomic would also like to have full size for desktop use multi color led adds nice decorative touch mouse wakes up from sleep mode with first click ,positive
this mouse was back to school gift for my th grade son it charged fine the first time worked ok never charged again and stopped working school has only been in for one week and he already needs new mouse can give it more that one star if it doesn work ,positive
my mouse no matter how charged it is loves to just randomly jump to the side of my screen it been like this since first plugged it in besides that it pretty and like how the lights combined it also really helped me with my carpal tunnel issues ,positive
i ordered this product but the cursor kept jumping around the screen even when it was fully charged figured just got bad apple so made an exchange for new one the new mouse came scratched not big deal and the scroll wheel wasn as smooth annoying but its fine but this one cursor is jumping around the screen too would have otherwise liked the mouse it charges up quickly and appreciate the sleep mode so that that battery life lasts longer ,negative
i bought this mouse on the th of august and it broke on the st of the same month basically it lasted me for less than month the lights stopped working properly and then the middle part to scroll stopped working it broke do not recommend at all,negative
this mouse worked for while but then broke the led looked fake and crappy wouldn buy this if were but if are in budget it would do the job just be very careful with it ,negative
love the size of it,positive
i have bought several of these since this first one they work amazing have had no issues and recommend this seller and mouse brand alot the price is so good ,positive
i like this item lot very fairly priced and the low profile makes it easy on my hand don have the largest hands but not very small either and mouse with high hump is very uncomfortable this solves that problem nicely could do without the sleep mode am still getting used to waking it up and understand the value of sleep mode so deal with it never having to deal with batteries is also bonus charging it overnight is ideal but have already forgotten couple of nights and it fine if necessary you can plug it in and use it while it charges ,positive
it used to be good until this morning that couldn use the roller since it broken it broke on its own because it bad quality,negative
it was nice and sleek it felt very cheaply made though and it died within weeks of having it wouldn turn on even charged it would not recommend buying it ,negative
i bought this mouse to replace one that had the mousewheel break to be honest loved this mouse at first the lights the feel everything however was not fan of the extra added adapter to make it usb compatible here am months after bought it and the mousewheel no longer functions on this mouse as well for some reason the companies that make these portable mouse mice cannot make one that has sturdy mouse wheel oddly enough the one thing didn like about the mouse originally became my favorite thing now that it is broken the adapter to allow me to run regular usb on usb port ,positive
within week of my son using it the scroll button broke somehow it outside the return window so now we are stuck with it ,negative
i ordered the track ball broken in the silver one within days the right click broke on the rose gold one within days only use them for light use no gaming and they are not sturdy at all they were both difficult to charge,negative
this product is very cheaply made purchased this mouse because my daughter liked the lighting on the side of the mouse however the wheel that controls how you scroll up and down on web page easily breaks off and you have to return it or buy another one buyer beware take it from father who has went through of them ,positive
i use this for my laptop mostly when creating designs on my cricut works good lights up very nicely ,positive
i use this mouse for work it didn require any weird setup like downloading software it super comfy and has sleep mode that activates after about minutes click of the button wakes it up and it ready to go don regularly use the light up mode but it is cool feature that is fun to show off have carpal tunnel and it so much better on my wrist than standard wired computer mouse most definitely worth the purchase ,positive
the mouse itself is great works well however the roller ball on the top of the mouse broke and no longer works it has only been weeks since purchase do like that the lights have an on off function so you don need to have it lit all the time which makes it more appropriate when in work environment ,positive
i use this in class and at home and there is not any noise when you are clicking the buttons which is nice when we are quietly working on things would highly recommend the color changing is also great ,positive
i guess almost year for under is good enough especially if you want one that recharges because you don like fooling around with aa batteries battery life was good could use it all day with no problems ,positive
it was most important to me to have quiet scrolling mouse for my laptop this mouse has quiet silent scrolling and silent clicking very impressed the mouse is more of flat design the lights around it are pretty neat there is an on off switch on the bottom of the mouse that includes an option for the lights as well nice mouse for great price ,positive
it was fine until it just stopped working months in do yourself favor and spend little more money to get well known brand like logitech ,positive
i feel like won this out of cheap gumball machine plastic doesn feel like it going to last long ,positive
i ordered my first mouse it broke in two weeks returned reordered this one broke just few days after the return window closed don waste your money ,negative
led wireless mouse rechargeable slim silent mouse is easy to use lightweight and easy to recharge the charge last long time ,positive
i was super excited to use this mouse for my macbook but it won even charge would return but do not have the packaging anymore do not buy ,positive
ease of installing and very super cool looking at my laptop ,positive
this mouse has the quietest click of any mouse ve ever owned and it puts itself to sleep if don move it for while it magical wasn sure about the color changing light but it not overpowering or distracting ve had very long line of previous wireless mice but think this is my favorite very pleased with this purchase ,positive
broke within two hours of using it you really gotta watch the amazon return policy on electronics have tendency to buy it and leave it sitting in the box for way too long bad me because this is the second or third time ve gotten burned on crap like this ,negative
love this mouse got it to replace my logitech mouse because it was glitching you can beat the price for this one it light weight and the colors are nice ,positive
 the ergonomic feel of the mouse is great and the battery life is amazing it is lightweight and feels cheap white matches my setup but it translucent and takes way from the aesthetic it is connected less than ft away and it still loses connectivity which causes it to lag it makes it completely useless to me don recommend you buy it at least not the white one and be aware of the lagging ,negative
great product very competitive price ,positive
i really like this this is replacement for broken battery operated one used to have love that this can charge from usb port and not having to rely on batteries or worry that they might run out at an inconvenient time it got cool lights around the side and it works well on lot of surfaces use my laptop in recliner chair and this works running on the edge of the chair just fine ve also used it on wooden table top and vinyl countertop surfaces with good results it does take just second when the laptop boots up to locate but that minimal the usb wireless component is small and fits really inconspicuously into an unused port on my laptop without being in the way at all all in all ve been very happy with the quality and efficiency this was great purchase ,positive
i like that you change button on the back so it stays red and that the blue light stops showing once its done charging the only thing is wish it would show you how much battery it has left ,positive
i bought one to try for myself at home and loved it so much ordered two more to use at work this is the best wireless mouse ve ever had great value too ,positive
i didn realize that it was rechargeable vs battery however it gets the job done and it comfortable to use ,positive
loved this mouse worked great after having it for months the scrolling piece in the middle broke was not rough with it did not drop it just stopped working out of nowhere ,positive
i loved this product when first received it it lit up and lightweight and just pretty but that was very short lived it stopped working after just weeks of using it good thing it was on the cheaper side maybe it was disposable mouse that only was supposed to work for short period ,positive
don buy it for one is very inconvenient rechargeable you never know when mouse is out of juice two mouse is dead after just months,negative
i ve had the product for less than two months and it no longer works really disappointed ,negative
i bought this first time and after few months it died completely even after being charged it will not respond when turned back on thought it might just be one time defect and bought another this time it died completely after month nice while it worked but will not be buying rd time ,negative
love the led lights connects quickly the rechargeable feature is great until you forget to recharge,positive
i have small hands and my old mouse was too big for my hand this mouse is lower so don need to move my wrist and fingers higher to click it not cure but it great that it fits my hand much better and doesn put as much strain on my hand ,positive
should have had usb charging port on it instead of micro usb otherwise it great for my daughter year old hands ,positive
bought this in june it dead plus when in wireless mode frequently multiple times per day the mouse drops connection cheap product would rather have working product ,negative
it works great is fast ,positive
i love how cute this mouse is use it for work it goes into sleep mode pretty quickly but one click and you re back up and running charge it once week ,positive
the different colored lights stopped working after week and it only had red light after two months the mouse stopped working entirely sucks because it too late to return it,negative
great product,positive
i really like this mouse it is low profile and fits my small hands perfectly the only thing really don like about it is all the flashes of different color lights on it need to check to see if there is way to disable the light feature otherwise very nice mouse ,positive
won hold charge,positive
this mouse is wonderful to use for precise things such as line drawing and making flow charts it is super comfortable to use unfortunately bought this at the beginning of the year and now it will not charge so basically now have corded mouse which is what needed to avoid so until find highly rated cordless or battery operated one will be tied to the computer literally ,positive
the mouse worked well for day but nowhere cursor is non responsive checked to make sure it was fully charged did some troubleshooting and moved the usb to multiple ports on the laptop nothing worked guessing just received dud or maybe the mouse just isn compatible with my laptop ve used multiple wireless mouses with this laptop this is the first time ve ever had an issue make sure you try the mouse out right away after charging upon receiving it incase it doesn work and needs to be returned ,positive
the mouse worked for couple weeks but now the scroller just spins freeling and won scroll one through pages really disappointed because the mouse as whole worked pretty well for the last couple weeks hopefully just defective model will be returning the item and seeking replacement,positive
it was working well until it just stopped working after months it won charge and turn on anymore pretty much useless now not well made and it waste of money if you re looking for reliable and and an item that will last long do not get this one coz you will be disappointed tried my luck and didn listen to the reviews read now am so disappointed could have spend more to most reliable and long lasting one ,negative
i charged this mouse one time for an hour and it been going for month now on that one charge the clicks are silent love this comfortable mouse edit loved it until the scroll wheel stopped working ,positive
purchased for daughter and she didn like the ergonomics of it threw it in my work travel bag and have ended up using it works well and battery lasts while it also nice conversation piece in meetings ,positive
i tried to give this mouse some time tried it on different surfaces in all cases it skipped around and was very hard to work with unfortunately because of vacation and because tried to make it work missed the return window by one day that just frustrates me even more ,negative
was decent first month very flat so not ergonomic but that personal taste issue is this is already broken the scroll wheel no longer works even for mouse that pretty pathetic since ve had other mouses for years at time had the same issue as other reviews with the cursor randomly jumping too so there might be some design issue with the sensor ,negative
this mouse was purchased for year old girl she loves the colors the fit and the fact that it works without making noise ,positive
i hate this product,negative
after two days of using the mouse went dead and would not work again no matter how long charged it ,negative
i gotten mouse mouse pad combo at tj maxx but there was no usb to connect it to my laptop so ordered this online it was good price and shipped quickly and am so glad ordered it it way cooler than the other one bought and feels like it made better it lights up there an on off and sleep mode to preserve battery also works so seamlessly and smooth great product thanks ,positive
i really loved this mouse did not replace it with the same mouse however because the wheel broke only use this device for work not gamer or anything like that ve had wireless mice that do not break for years previously great color very cool looking will miss using this not sure if there is any warranty,positive
i liked everything about this mouse was working great the couple of times week that used it then one day the scroll wheel stopped working completely no it not dirty there is no resistance it feels like it is free wheeling in there no explanation past return period ,positive
might work for low use we shall see and ll update this review after week or so of use update received aug mouse died sep rip,negative
cute mouse just love how it lights up with the different colors ,positive
it is quite nice it has an interesting style and the colored lights give it special touch unfortunately in terms of performance is lousy the sleep mode seems to fail constantly sometimes it turns off for no reason and stops working for while being fully charged so it must be damaged internally very disappointed with this product no matter how nice it is it is not worth buying if it does not fulfill its main function ,negative
love how amazon is fast and product is great,positive
it honestly awful it won charge and ve tried four different chargers ,positive
great purchase,positive
nice mouse if it worked the first one purchased worked for about month when the scrolling wheel broke the company replaced it free of charge now six months later the second one has quit working won hold charge ,positive
i love it,positive
my son wanted this for his macbook so will tell you it needs an adapter the macbook doesn have usb port but after that he is pleased with the performance he uses it to play games too and says it is responsive ,positive
mouse is easy to use and works well however the first time put it in my bag the color chipped off the mouse now have teal mouse with white specks super disappointed,positive
charge didn last all day and then delay kept getting longer simply don have time to hook it to cord and there no battery charge option ,negative
stops working week after buying do not waste your money mine won stay connected to my computer constantly having to reconnect it,positive
it broke literally less than month and ive never even dropped it super disappointed and waste of money ,negative
after exactly two months the roller wheel in the middle broke tried prying it apart and it is not fixable and is pain to always have to use the scrollbar with the mouse the lights are kind of distracting not necessary however it does stay charged for week or more at time cheap and bought this for data work it works other than the middle wheel now and is okay for the price or if you don have high expectations ,negative
this mouse is wonderful love the feel of it it is ergonomically great use mouse all day long and this mouse is light weight and fits my hand the sleep mode feature is an added plus ,positive
pretty good mouse ,positive
easy and fits my hand have some numbness in my right hand ,positive
don buy it it can hold charge it moves on it own and was way too expensive for how crappy it was ,negative
slim in the hand and works great ,positive
don buy died as soon as the return period is over can get refund for it,negative
cute mouse love the blue on it and the lights are cute touch its very lightweight very quiet no clicking sounds from the mouse which is great ,positive
this mouse is super cute it is lightweight and the color matched perfectly to the picture got dark gray to match my macbook pro the click is silent which love the led lights are bright and colorful there is also setting where you can just have red lights but love the color changing the only downside is that this mouse does not hold charge long enough to last my entire workday ve started switching it off when am away from my desk and that help some charging is simple though ,positive
i loved the look and feel of this mouse however it stopped working after only week of using it won charge at all and coworker said she had the same issue with the same mouse don waste your money ,positive
i was pleased to see just how well made the mouse was when received it couldn have asked for more for the money it comfortable in my hand the rubber texture really makes using it pleasure the dongle storage on the bottom of the mouse isn covered but it nice and tight so not worried about losing it so far so good ,positive
it works smoothly and the colors are fun keeps charged for good while ,positive
do not buy this mouse stopped working august st yesterday thought it was just dead so made sure to charge it this morning go to use the mouse and it still is not working despite it being fully charged it just doesn turn on anymore am extremely disappointed because just bought this mouse on june th meaning that the return window closed on july th this mouse stopped working entirely doesn even turn on anymore two days after the return window closed do not buy this product if could give it less stars would ,negative
this came with an adaptor to fit the apple laptop but is not made specifically for apple products the charge does not last long and needs special adaptor prefer battery operated mouse as maintaining so many different chargers on my desk is cumbersome the three settings for on off are also less than ideal in summary while this mouse is aesthetically pretty it is not functional with the apple products ,positive
i love it easy to install and use mouse is soft and movies easily ,positive
from what read this would plug into an android tablet have so that could control without using the touch screen but the adaptor did not allow this my mistake probably ,negative
update lost my favorite mouse today bought it on jun reviewed it aug and it died yesterday aug so the mouse lasted appx weeks two and half months is pretty disappointing lifespan the battery died so plugged it in as always yet it doesn connect anymore ve tried removing the usb transmitter rebooting the computer plunging it in and out and turning it off and on but nothing even tried re charging it but nope it lost cause bought this mouse to replace the wireless logitech was using for my laptop it died and decided to try this rechargeable mouse from okimo never heard of the brand but impressed this first charge lasted so long that almost forgot it was rechargeable bought it in mid june it aug today and just on my second charge the first charge lasted over month this mouse does shut off after it idle for while and sure that is the secret to the long battery life just quick left click and it back in business almost immediately love the slim feel of this mouse it works beautifully thought the changing light would bother me old but it doesn it more like pleasant subdued highlight effect ll probably buy another one for my desktop but in another color so don get them mixed up ,positive
great for the price hold charge for good amount of time,positive
 aesthetically this is very enjoyable to use because of the changing colors of the rainbow like how it wireless and it can even work from small distance away on another table from separate from my computer it works very well it has an on and off button for storage ,positive
just love the narrow band of changing colors around the mouse it so cheerful ,positive
i love the ease of use with this mouse the ability to charge it rather than constantly replace batteries and to shut off or put to sleep the noise it durable and perfect for my usage and was able to get it in pink ,positive
this thing works well most of the time if you don turn it off and just let it go to sleep mode it dies fairly quickly but you still get couple of days of use out of it if you re not using it hours day at least if you turn it off every time you re done though you can get probably month but at least weeks out of it with moderate use originally bought it to use with my ipad however the case on my ipad wouldn really allow the usb to plug into the charger port wish they made an option to get either usb or usb plug as you get both with this mouse but you have to plug the usb into the usb adapter which makes the usb plug significantly thicker than necessary now use it for my macbook just warning if you want it to scroll like regular mouse you have to change it in the setting of the computer but that macbook problem not problem with this mouse not all of apple setting decisions make sense but that nothing new do really like that can chose to just turn on the mouse with solid red color which preserves battery or turn it on to change colors reduces how much time you get out of the mouse but is cool feature my only complaint is that sometimes the mouse isn tracking perfectly and the cursor is in completely different place than would expect it to be further behind where was moving it to rather than the cursor doing its own thing but that may also be thing have to change on the laptop ,positive
i ve been using logitech marble mice for years maybe over decade just love that you control the cursor with just your fingertips but it weakness is that the marble mouse scrolling function is clumsy and jerky as it lacks legit scroll wheel that is probably the sole reason bought this led wireless mouse the led mouse seems to function well it has sleep mode that easily wakes up and had pretty color light around it don use it for general mousing but for scrolling once get the cursor in the right window the mouse can be on the desk in my lap wherever it makes up for what don have with my marble mouse the price was right and think if it what paid for it it good cheap addition ,positive
the mouse can use but the back side of the light is broke ,negative
great mouse use it for everything from gaming to normal use recommend it,positive
this mouse is extremely lightweight and easy to use love the lights that constantly change while you re using it the best part for me is the fact that it rechargeable just plug it into any usb plug it into my laptop at the end of the day battery usually lasts me few full days of work sleep mode is great and helps prolong battery life ,positive
easy to setup fit nice on the palm of your hand,positive
i bought the white one and at first it was only lighting up red and thought the picture was misleading then realized the on off switch on the bottom actually serves two functions one click on will turn the mouse on and glowing red two clicks on and the rainbow colors appear will say the white mouse is almost translucent the rainbow colors illuminate the whole mouse not just the sides it plug and play very easy to use and comfortable ,positive
colors are just ok have to position the charger certain way for it to actually charge ,positive
great purchase it so cute and easy to handle ,positive
i initially liked this mouse because it cute it too flat to be ergonomic but that was okay except ve used it for less than month and the scroll wheel has fallen off its track it also dies very fast and needs to be recharged often don recommend it for anyone using mouse regularly ,positive
made to seamlessly fit hands pleasure to use ,positive
its been less than months but the mouse has already popped open and doesn work just wish it would last longer ,positive
very comfortable to use love it,positive
bought this mouse in march and today it stopped working it will not charge and is now useless ,negative
battery life was great worked great for while but it will not charge first time went to charge it plug it into my laptop and power brick it lights up for seconds then shuts off now it won turn on at all sadly would love to give this product more stars but now this is useless and can even use it while it plugged in ,positive
this mouse is slimmer than others since have small hand it is very comfortable to use great buy ,positive
super cute but it is really slow ,positive
simple book up and very responsive sturdy construction beautiful light display and worth every penny just as good if not better than the more expensive brands ,positive
the mouse is ergonomic very easy to use the price is not bad either all in all good purchase ,positive
 love this mouse it super cute and lightweight love the led lights option paired perfectly with my macbook,positive
it works great like the color ,positive
so far so good looks cool and feels good would buy again,positive
this mouse is of great quality,positive
i am sick with stage melonoma so just opened it it jiggles junk,negative
working great plugged in or wireless have no problem so far,positive
this mouse is very quiet when you click and is ergonomically comfortable ,positive
works well special features are fun,positive
bought this mouse because when my other one died remember having to change my battery at least once month after getting this originally charged and has kept the charge for almost month now and just had to recharge for the st time charged overnight and working great again love this small quiet mouse easy to hold with rubberized texture that keeps it from slipping ,positive
yeah this thing is pretty great honestly it works really well and is completely silent which really like at work don like to be constantly clicking all the time the rubberized feel is also very satisfying and mean very satisfying overall you really can go wrong here for the price ,positive
the mouse is cute has quiet clicks smooth glide and is light it is also comfortable for your hand like the rechargeable feature as well,positive
i really like the design and feel of this mouse bought in week the lights are cool and like the sleep feature if it not used for minutes great price ,positive
worked fine out of the box until it needed recharging and now won charge it has blue light on it so know it getting power but as soon as disconnect the cord it dead worthless ,negative
i like this mouse very much it moves smoothly and is small so there is no discomfort for my hand the only thing do not like is the on off switch it is very small and hard to make it move ,positive
very nice sleek design was expecting lot more given the reviews but mouse stopped working after weeks the usb and usb adaptors are very flimsy and prone to bending so as soon as go to plug it into my computer it does not connect definitely would not recommend unless you are looking for product to use for about week or two ,negative
slim design comfortable for the wrist ,positive
had this one for week and it already stopped working the scroll wheel in the middle doesn work and half the time the items am trying to click on can because the left click button doesn work have charged it several times from the computer and from wall adapter and still not any better,negative
works great,positive
use it with my laptop works perfectly ,positive
works great,positive
mouse works great better than expected ,positive
it good but for gaming don recommend this slim one it ok for normal work ,positive
excellent price an very comfortablethere are great,positive
love it good price and product ,positive
the scroll wheel stopped working after month very frustrated ,negative
i am very disappointed with this item had replaced it once and the same thing happened where it doesn hold charge after few months of ownership really like this product but the cool rainbow changing lights can only be enjoyed when its charged and working properly ,positive
first one received only lasted one week but the return process was quick do really like the second one mainly because of the lights know shallow right ,positive
absolutely love it so slick slim and smooth ,positive
works great for home office and gaming,positive
just hit but it is cheaply made should hv purchased from best buy vs this one ,positive
super smooth operation and super quiet excellent battery life was very pleasantly surprised would not hesitate to purchase second one or even recommend to someone great price ,positive
so far very pleased with this product it connected with my laptop automatically with no problems the slim line design slips into my laptop case outer pocket very nicely and there seems to be no issues with charging it from computer port ,positive
good quality for the price very colorful constantly changing colors easy to connect to the computer great item ,positive
best mouse ve ever bought ,positive
i have had this mouse for less than months that and the rolling ball has stopped working that sucks ,negative
recently purchased this mouse the look of the lights is cool not fan of the sleep mode but did love the smooth feel of movement and the track wheel was perfect however after day and half went to charge it and it never came back on thought it needed to charge longer but no just stopped working ,positive
dead in weeks,negative
feels nice in the hand lightweight but not lightly made if that makes sense smooth flow nice to have the usb compartment inside of the mouse use it for my latop when travel,positive
i bought this mouse so that could use it with my macbook unfortunately it barely works have tried for year now to get it to different surfaces and different ways to try and make it function better but it extremely slow and very glitchy and ends up slowing you down so much more than just using whatever mouse pad is on the laptop it extremely lightweight and made from cheap plastic was expecting that at least it would work but the lag time is so great that you re better off not using it at all ,positive
bought it in march and now the roller thing does not work mouse was never dropped opened and found that the attachment of the roller is broken it works as intended and love that it is rechargeable ll buy another one if it lasts long enough then maybe the first one is just fluke ,positive
the mouse works great until it goes to sleep agggh then you have to shake tap hard against your palm so you don smash it to pieces or flip the switch back and forth it quite irritating if it was as simple as on and off it would be perfect ,positive
well it mouse but doesn recharge has stupid little white old tech mini usb looks like it charging but it not this mouse was so thin it hurt to use for long periods but only lasted till the battery died has charger but it won recharge used multiple cables,negative
i enjoyed the look and watching this mouse light up but that is essentially it the battery storage on the mouse is super low so you ll have to plug it in any way after about half hour of use maybe an hour if you turn off the rainbow led light feature the mouse scroll wheel broke on me in middle of game not any aggressive game mind you just house decorating sim and ve hardly used it for the six or so months ve had it to sum up for quick cheap purchase it looks great but isn worth it in the long run and regret not buying different mouse ,positive
the mouse is cool comfortable to use but not fan of the sleep mode it annoying but still like the mouse love the color shifting feature too,positive
after charging it stopped working so put it back on the charger thinking it wasn fully charged and nope still didn work this was waste of money ,negative
super easy to use and transport works with my pc,positive
i love the wireless mouse it hold charged in month even though using hours per day it is quiet and work great thanks for good product ,positive
broke after no more than minutes of use something on the inside disconnected and the scrawling wheel spins freely not only it was waste of money actually needed compact mouse for my portable office forgot all about it in my trip now it is too late to return it you get what you pay for ,negative
love this remote the slim design fits perfectly in my hand love the changing rainbow colors and the ease of using is absolutely awesome would highly recommend this remote to anyone with pc mac laptop,positive
i liked the size and ease of charging but very dissatisfied with the lack of reliability and of course both stopped working just past the point could return waste of money useless without the scrolling wheel ,negative
this mouse is very light almost too light since you don place batteries inside ultimately that why returning bc need mouse that can pick up easily also the led lights don look like the picture ,positive
i have this same model in bluetooth and it works great needed it for an old yoga win laptop no issues and works great,positive
perfect budget mouse if your working with macbook like am very smooth and responsive but wouldn recommend for gaming because any crazy fast movement can kind of lag but for my online studies it been perfect very very long battery life don think ve charged it since bought it ,positive
it works well and easy to use,positive
its sleek the blush is cute color like the colored lights also works well,positive
i purchased this wireless mouse the first part of may it is now early july and it doesn work anymore have charged it and it still doesn work waste of money ,negative
love it,positive
easy to use and charge works with my chrome book any special effort plugged it in it works,positive
thin design makes it easy to use and stylish no bother with batteries just plug in and charge,positive
this mouse works perfectly for what bought it for it ergonomic chic colorful and works long time before needing to be charged it came quickly and was packaged nicely buy with confidence ,positive
